,Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
27,28,1,1,30,INFP,28,<그렇다> 이렇게 하면 더 효율적이다고 말했을 때 받아들이는 선이면 짜증 나지 않지만 받아들이지 않고 특별한 이유 없이 자기 생각만 밀고 나가면 짜증이 납니다. 다른 사람이 사는 곳에 고기가 싼 곳이 있는데도 훨씬 비싼 고기를 자신이 사야 한다고 계속 말해서 짜증이 났습니다.
28,29,1,1,30,INFP,29,<그렇다> 해야 할 일을 생각만 하다가 마지막에 우르르 끝내는 경우가 많습니다. 최근에도 이력서를 넣을지 말지 고민하다가 끝내 넣지 않았습니다.
29,30,1,1,30,INFP,30,<그렇다> 흥미롭습니다. 내가 죽은 뒤 아무것도 없기를 바라지만 귀신을 본다는 사람도 있고 문화권마다 다른 사후세계가 재미있기 때문입니다
30,31,1,1,30,INFP,31,<아니다> 저 자신의 에너지가 부족하기 때문에 다른 사람과 시간을 보내면 정신적으로도 육체적으로도 힘들어서 혼자 보내는 것을 더 선호합니다. 요즘도 혼자 있는 게 더 좋습니다
31,32,1,1,30,INFP,32,<그렇다> 이론은 얼마든지 바뀔 수 있으며 옛날에는 위대한 발견이라며 노벨상 받았던 것도 바뀌는 시대이기에 이론 중심의 토론은 관심이 별로 없습니다.
32,33,1,1,30,INFP,33,<그렇다> 감정 이입을 잘해서 다른 사람이 자신의 얘기를 할 때 그 감정에 공감이 많이 됩니다. 친구들이 얘기를 할 때 안 좋은 얘기를 하면 마음이 매우 무겁습니다.
33,34,1,1,30,INFP,34,<그렇다> 결정을 내려야 하면 여러 변수와 그로 인한 결과 등을 생각하느라 최선의 결정을 위해 최대한 미루는 편입니다.
34,35,1,1,30,INFP,35,<아니다> 최대한 고민하면서 결정을 내리지만 마지막까지 갈팡질팡하다 급하게 결정을 내리기 때문에 후회할 때도 많아 다시 생각하는 편입니다.
35,36,1,1,30,INFP,36,<아니다> 혼자만의 시간을 보내는 것이 더 좋습니다. 나가면 오히려 피로가 쌓이기 때문에 요즘에도 나가지 않습니다.
36,37,1,1,30,INFP,37,<그렇다> 아름다운 것을 좋아하기 때문에 미술관에 가는 일을 좋아합니다. 길 가다가 예술 작품이 있으면 어느 정도 살펴보는 편입니다.
37,38,1,1,30,INFP,38,<아니다> 이야기를 들어보면 이렇게 생각해서 이런 마음이 들었구나 생각이 들어서 감정을 이해하기 힘들 때는 별로 없습니다.
38,39,1,1,30,INFP,39,<아니다> 계획을 많이 세우긴 하지만 매일 세우는 것은 좋아하지 않습니다. 업무에서는 대략적인 계획은 필요하지만 머릿속으로만 간단하게 세울 뿐 세세히 세우진 않고 개인적인 일에서도 매일 세우진 않습니다
39,40,1,1,30,INFP,40,<아니다> 불안함을 느낄 때는 많습니다. 이렇게 살아도 되나 싶고 노후에 대한 불안함도 있고 건강에 대한 불안함도 있습니다. 오랜 기간 왕따 당했던 것이 제 자신에 대한 확신이 줄어들면서 계기가 된 것 같습니다.
48,61,2,1,40,ESTJ,1,<중립> 저는 일부러 만들려고 노력하지는 않아요. 생활하면서 자연스럽게 만들어지는 건 좋아해요.
49,62,2,1,40,ESTJ,2,<그렇다> 저는 관심사가 정말 다앙햐게 많아요. 요즘은 건강을 위해서 자전거를 배워서 다양한 자전거를 알게 되었고 구입하기도 했어요.
50,63,2,1,40,ESTJ,3,<그렇다> 저는 다른 사람이 우는 모습만 봐도 눈물이 흘러요. 이유는 감정이입이 잘 되는 것 같아 똑같이 슬픈 것 같아요.
51,64,2,1,40,ESTJ,4,<그렇다> 저는 항상 잘못되었을 때를 대비해서 차선책을 준비하고 있어요. 그렇지 않으면 마음이 불안하고 어렸을 때부터 습관이기도 합니다.
52,65,2,1,40,ESTJ,5,<아니다> 평정심을 가지려고 노력은 하지만 잘 되지는 않아요. 얼마 전 컴퓨터 업무를 하는데 오류가 생겨서 시간에 쫓기는 일이 있었는데 마음이 너무 급했어요.
53,66,2,1,40,ESTJ,6,<아니다> 저는 먼저 인사를 하는 편이에요. 서로 머뭇거리는 상황이 싫어서 차라리 먼저 인사하고 이야기 나누는 게 편해요.
54,67,2,1,40,ESTJ,7,<그렇다> 저는 한 가지를 완료하는 편이에요. 여러 가지 일을 벌여 놓으면 마음이 복잡해져서 하나씩 완료하고 있어요.
55,68,2,1,40,ESTJ,8,<중립> 저는 사람들과 이야기할 때 굉장히 현실적이에요. 하지만 혼자 생각에 잠기면 가끔은 감상적일 때도 있어요.
56,69,2,1,40,ESTJ,9,<그렇다> 저는 모든 일에 계획을 세우고 있어요. 휴대전화기에 계획표를 사용하고 기록하고 있어요.
57,70,2,1,40,ESTJ,10,<중립> 저는 2-3년 전만 해도 실수를 하면 제 능력을 의심했어요. 지금은 조금은 마음의 여유를 가지려 노력하고 있어서인지 누구나 실수할 수도 있다고 생각하고 있어요.
58,71,2,1,40,ESTJ,11,<중립> 처음에는 자리에 따라 어려울 수 있어요. 저를 이상한 사람으로 생각할 수도 있으니까요. 처음엔 어려울 수 있으나 말을 하기 시작하면 괜찮아요.
59,72,2,1,40,ESTJ,12,<아니다> 저는 이야기 나누는 걸 좋아해요. 특히 예술작품의 해석은 개개인마다 너무 다르기 때문에 다른 사람의 해석도 들어보고 싶어요.
60,73,2,1,40,ESTJ,13,<그렇다> 저는 굉장히 이성적인 편이에요. 감정에 따르다 보면 후회할 일이 생길 때가 있어서 이성에 맡기려 노력하고 있어요. 주변에서도 저를 그렇게 보는 것 같아요.
61,74,2,1,40,ESTJ,14,<아니다> 저는 무슨 일이든지 계획을 세우고 있어요. 특히 여행 갈 때 즉흥보다는 계획을 세워야 시간 낭비가 줄어들고 아쉽지 않아요.
62,75,2,1,40,ESTJ,15,<중립> 저는 가끔은 다른 사람이 저를 어떻게 생각할지 걱정할 때도 있어요. 내 멋대로 사는 게 아니라 함께 사는 사회이니까요.
63,76,2,1,40,ESTJ,16,<중립> 저는 단체 활동을 좋아해요. 가족들이나 친구들과 여행하는 걸 좋아하는데 코로나라는 특별한 상황으로 모임을 자주는 못하고 있어요.
64,77,2,1,40,ESTJ,17,<중립> 저는 결말이 애매하게 마무리가 되면 미완성형 같아요. 어느 정도는 결말을 제시해 줘야 조금이라도 제 해석이 가능하지만 너무 황당한 결말은 원치 않아요.
65,78,2,1,40,ESTJ,18,<그렇다> 저는 제 자신의 성공도 중요하지만 가족을 남이라고 지칭한다면 가족을 먼저 생각해요. 제가 성공한 멋진 모습도 중요하지만 가족의 성공을 볼 때 더 기뻐요.
66,79,2,1,40,ESTJ,19,<그렇다> 저는 관심사가 정말 많아요. 최근에 자전거 타기와 공예품 만드는 것도 시작했는데 하고 싶은 게 너무 많아서 계획을 세우지 않으면 엉망이 될 정도로 관심사가 많아요.
67,80,2,1,40,ESTJ,20,<중립> 저는 무슨 일을 시작할 때 걱정이 되기도 해요. 전에 잘못됐을 때의 경험이 있으니까요.
68,81,2,1,40,ESTJ,21,<아니다> 저는 지도자 역할을 어릴 적부터 한 적이 많아요. 서로 피하는 상황이 싫어서 그냥 제가 나서서 하기도 해요.
69,82,2,1,40,ESTJ,22,<아니다> 저는 다방면으로 예술쪽에 재능이 있어요. 실제로 전공도 예체능 전공이에요.
70,83,2,1,40,ESTJ,23,<아니다> 이성만 중시한다면 균형이 깨질 거예요. 무슨 일이든 감정과 이성이 균형이 맞아야 더 나은 세상이 된다고 생각합니다.
71,84,2,1,40,ESTJ,24,<그렇다> 저는 할 일이 있으면 우선적으로 하고 있어요. 집안일이 남아 있으면 마음이 편치 않아 쉬어도 푹 쉬지를 못합니다.
72,85,2,1,40,ESTJ,25,<아니다> 저는 논쟁을 벌이는 상황이 싫어요. 어떤 일이어도 논쟁이 아닌 타협을 원해요.
73,86,2,1,40,ESTJ,26,<아니다> 저는 다른 사람의 주의를 끌어 나를 바라봐도 괜찮아요. 많은 사람들이 저를 바라봐도 전혀 부끄럽지가 않아요.
74,87,2,1,40,ESTJ,27,<그렇다> 저는 감정 기복이 있어요. 화났을 때는 감정을 숨기지 못하고 화를 내다가 다시 생각해 보면 화낸 일이 후회될 때도 있어요.
75,88,2,1,40,ESTJ,28,<그렇다> 저는 시간과 돈과 물건을 효율적으로 사용하는 걸 좋아해요. 가족이 그렇지 못하면 화가 나요.
76,89,2,1,40,ESTJ,29,<아니다> 저는 해야 할 일을 우선적으로 하고 있어요. 최근에도 일이 여러 개이면 우선적으로 할 일부터 완료해야 마음이 편안해요.
77,90,2,1,40,ESTJ,30,<아니다> 저는 사후 세계에는 관심이 없어요. 어차피 경험해 보지도 못하고 기억에도 없는 사후세계에는 흥미를 못 느껴요.
78,91,2,1,40,ESTJ,31,<중립> 저는 가끔은 혼자 있고 싶어요. 그동안 바쁘게 생활하다 보니 혼자 조용히 있는 시간을 갖고 싶어요.
79,92,2,1,40,ESTJ,32,<중립> 저는 관심사에 따라 다르다고 생각해요. 제가 관심 있으면 흥미롭지만 그렇지 않으면 정말 지루해요.
80,93,2,1,40,ESTJ,33,<그렇다> 저는 다른 사람의 배경을 쉽게 공감해요. 누구나 다른 삶을 살고 있으니 다양한 배경을 공감하고 있어요.
81,94,2,1,40,ESTJ,34,<아니다> 저는 결정을 빨리 내리는 편이에요. 시간을 두고 바뀔 일이 아니면 빠른 결정을 하고 있어요.
82,95,2,1,40,ESTJ,35,<중립> 저는 결정한 것에 대해서 다시 고민할 때가 있어요. 빨리 결정하는 편이라서 잘한 것인지 생각할 때가 있어요. 특히 옷을 고를 때 그런 일이 있어요.
83,96,2,1,40,ESTJ,36,<그렇다> 저는 집에서 쉬는 시간에 흥미를 못 느껴요. 일주일의 피로는 밖에서 운동이나 가족 행사로 풀고 있어요.
84,97,2,1,40,ESTJ,37,<그렇다> 저는 다양한 예술 활동을 좋아해요. 미술관도 가고 특히 뮤지컬 관람은 기분이 많이 좋아져요.
85,98,2,1,40,ESTJ,38,<중립> 저는 다른 감정을 이해하기 힘들 때가 있어요. 자주는 아니지만 가끔은 별것도 아닌데 왜 그러지 의아할 때가 있어요.
86,99,2,1,40,ESTJ,39,<그렇다> 저는 계획하는 걸 좋아해요. 계획한.걸 모두 이루지 못해도 한 달 계획을 미리 세우고 구체적으로 하루 일과를 계획하는 걸 좋아해요.
87,100,2,1,40,ESTJ,40,<아니다> 저는 불안감도 자주 느껴요. 타고난 성향이 걱정을 많이 하고 미래에 대한 불안이 있는 것 같아요.
96,121,3,0,40,ISTP,1,<아니다> 꼭 필요한 상황이 아니면 먼저 친해지려 하지 않는다. 친구를 만드는 일도 신경을 많이 써야 하는 것 같다. 더 친해지려 하지 않는다. 친구를 만드는 일도 신경을 많이 써야 하는 것 같다.
97,122,3,0,40,ISTP,2,"<아니다> 자유시간은 부업이나 모바일 게임에 할애, 요즘은 돈 버는 방법에 관심이 있다."
98,123,3,0,40,ISTP,3,<아니다> 다른 사람과 어떤 관계인지 모르는 상황에서 감정 동요는 없을 것 같다. 울고 있는 모습만 보고는 별 느낌이 없다.
99,124,3,0,40,ISTP,4,<그렇다> 아무래도 대비책이 없거나 하나일 때보다는 여러 가지가 있으면 안심이 되니 그렇게 하려고 노력한다.
100,125,3,0,40,ISTP,5,<중립> 압박감이 심란할 때 평정심 유지는 어렵고 생각은 유지하려 하나 실제 그렇게 되지 않는 것 같다. 최근 경험 기억은 없습니다.
101,126,3,0,40,ISTP,6,<그렇다> 파티나 행사를 간다면 주로 아는 사람과 대화를 나눌 것 같다. 모르는 사람과 어울리는 건 불편할 것 같다.
102,127,3,0,40,ISTP,7,<중립> 한 번에 여러 가지 일을 하는 걸 좋아하지 않으나 마음이 급해지면 하나에 집중을 못 하고 바쁘다고 생각되는 것 위주로 일부씩 진행하는 것 같다.
103,128,3,0,40,ISTP,8,<아니다> 매우 현실적인 것 같고 현실적이 아닌 생각이 나 얘기를 들으면 반박하고 싶어지고 잘못된 생각이라고 느껴진다.
104,129,3,0,40,ISTP,9,<중립> 그렇게 계획을 세우려고 노력하나 실제로는 그렇게 못하는 편이다. 모바일 다이어리와 실제 종이 다이어리를 사용하고 있다.
105,130,3,0,40,ISTP,10,<그렇다> 나이가 들어 갈수록 조그만 실수에도 위축되는 느낌이 든다. 예전에는 쉽게 했던 일도 최근에는 어렵게 느껴진다. 아이들 숙제를 도와줄 때도 그렇다.
106,131,3,0,40,ISTP,11,<아니다> 관심이 가는 사람에게 대화를 하고 싶은 건 맞지만 대화를 쉽게 하긴 어려울 것 같다. 공통 관심사도 없거니와 처음 보는 사람과 대화하는 사교성이 부족하다.
107,132,3,0,40,ISTP,12,<그렇다> 예술작품을 접하는 횟수도 거의 없거니와 예술에 대하여 흥미와 관심이 크지 않아 토론하는데 기본 지식이 없어 토론 자체가 어려울 것 같다.
108,133,3,0,40,ISTP,13,<그렇다> 감정보다 이성을 따르려고 노력한다. 실제 경험에 비춰 봐도 이성을 따를 때의 결과가 감정보다 좀 더 나았던 것으로 기억된다.
109,134,3,0,40,ISTP,14,<그렇다> 되도록이면 계획적으로 일하고 하려고 노력하고 그렇게 되었으면 좋겠다고 생각하나 실제로는 즉흥적으로 일을 하고 있는 모습을 볼게 되는 경우가 많다.
110,135,3,0,40,ISTP,15,<중립> 나와 관계가 거의 없는 모르는 사람과의 관계에서는 타인의 시선을 별로 신경 쓰지 않지만 밀접한 관계에서는 어느 정도 신경이 쓰이는 편이다. 아무래도 부딪힐 일이 많은데 불편하면 안 좋을 것 같다.
111,136,3,0,40,ISTP,16,<아니다> 단체 활동은 아무래도 자유롭지 않으니 참여하는 걸 즐기지 않는다. 요금은 드물지만 혼자라서 심심할 때나 외로울 때 단체 활동을 생각하기도 한다.
112,137,3,0,40,ISTP,17,<아니다> 소위 열려있는 결말을 좋아하지 않는다. 내가 생각해서 좋은 결말이라고 생각해도 실제는 그렇지 않지 않을까 의심되는 게 싫다.
113,138,3,0,40,ISTP,18,<아니다> 남의 성공을 돕는 것도 보람된 일이지만 솔직히 나 자신의 성공을 더 신경 쓰는 게 당연한 게 아닐까 생각한다.
114,139,3,0,40,ISTP,19,<아니다> 나의 관심사가 아주 많은 건 아니라 어떤 일을 해야 할지 모를 정도로 어수선한 적은 없었던 것 같다. 최근에도 없었다.
115,140,3,0,40,ISTP,20,<그렇다> 작은 일에는 별로 걱정하지 않지만 잘못되면 감당할 수 없다고 느껴지는 일이면 잘못되지 않을까 조바심 내는 편인 거 같다.
116,141,3,0,40,ISTP,21,<그렇다> 지도자 역할 맡는 건 그만큼 신경 써야 할 일이 많아지고 스트레스도 많아진다는 의미로 가능한 피하고 싶은 게 맞다.
117,142,3,0,40,ISTP,22,"<그렇다> 예술적 성향이 거의 없다고 느낀다. 음악, 미술, 기타 예술 관련하여 관심과 재능을 느껴본 적이 없는 것 같다."
118,143,3,0,40,ISTP,23,<그렇다> 이성을 중시했다면 더 나은 세상이 되었을 거라고 막연히 생각된다. 이성적으로 행동했을 때 좀 더 나은 결과가 있었던 것 같다.
119,144,3,0,40,ISTP,24,<그렇다> 휴식하기 전에 집안일이나 할 일을 끝내고 싶다. 휴식하면서 해야 할 일을 걱정하고 싶지 않다.
120,145,3,0,40,ISTP,25,<중립> 논쟁의 주제가 무엇이냐에 따라 달라질 것 같다. 내 관심사와 맞는다면 즐거울 수도 있을 것 같다. 그렇지 않으면 그 반대일 것이다.
121,146,3,0,40,ISTP,26,<그렇다> 호감을 느끼는 사람이 아니라면 굳이 주의나 시선을 끌려고 하지 않을 것 같다. 새로운 사람과의 만남을 크게 선호하지 않는다.
122,147,3,0,40,ISTP,27,<아니다> 감정의 변화가 빠른 편이라고 느끼지 않는다. 특별히 가까운 사람의 사건 사고가 아니면 그런 일은 드문 것 같다.
123,148,3,0,40,ISTP,28,<그렇다> 나와 비슷한 사람을 만나면 마치 본인을 보는 것 같은 착각에 비호감을 느끼는 것 같다. 그래서 짜증도 나지 않을까 싶다.
124,149,3,0,40,ISTP,29,<중립> 할 일을 미루는 습관이 있었지만 항상은 아닌 것 같다. 일의 경중에 따라 조금 다른 것 같다. 요즘도 미루는 일은 있지만 적당한 선에서 해야 할 일을 하는 것 같다.
125,150,3,0,40,ISTP,30,<아니다> 개인적으로 무교이며 사후세계는 없을 것 같다는 생각에 관심이 그리 많지 않다.
126,151,3,0,40,ISTP,31,<중립> 혼자 보내는 시간도 필요하고 타인과 같이 보내는 시간도 필요하다고 느낀다. 요즘은 타인과 시간을 좀 더 보내고 싶은 계절인 것 같다.
127,152,3,0,40,ISTP,32,<그렇다> 이론 중심이나 원론적인 이야기는 새로울 게 없다는 고정관념에 미리 재미없을 거라는 생각이 든다. 정해져 있는 답변을 듣는 것 같은 기분이 든다.
128,153,3,0,40,ISTP,33,<아니다> 자신과 배경이 완전히 다르면 생각하는 면도 다를 것이라는 생각에 쉽게 공감은 어려울 것 같다.
129,154,3,0,40,ISTP,34,<그렇다> 결정을 쉽게 내리는 편은 아니며 내가 정확하게 모르는 일에 대한 결정이면 더욱 미루게 되는 것 같다.
130,155,3,0,40,ISTP,35,<중립> 경우에 따라 다른 것 같다. 쉽게 결정한 건 바꾸기 쉽지만 어렵게 결정한 것이라면 다시 생각하지 않을 것 같다.
131,156,3,0,40,ISTP,36,<아니다> 혼자만의 시간을 보내는 것을 더 선호한다. 즐거운 파티도 좋겠지만 피로한 몸을 쉬게 하는 건 역시 혼자 시간을 보낼 때라고 생각한다.
132,157,3,0,40,ISTP,37,<아니다> 예술작품에 관심이 별로 없어서 그런 곳에 가는 걸 선호하지 않는다. 예술작품 감상도 관심사는 아니다.
133,158,3,0,40,ISTP,38,<그렇다> 다른 사람 입장을 생각하면 공감을 할 수 있겠지만 그렇게 하는 게 쉽지는 않은 것 같다. 내 입장과 상충되는 경우도 있으니 아무래도 내 입장 먼저 생각하는 편이다.
134,159,3,0,40,ISTP,39,<그렇다> 매일 할을 이를 계획한다기보다는 해야 할 일 놓치고 있지 않을까 걱정돼서 해야 할 일들을 미리 적어두거나 기억하려 한다.
135,160,3,0,40,ISTP,40,<중립> 불안함을 느끼는 경우도 있지만 최근에 느낀 적은 없었던 거 같다. 불안함이란 내가 조절 못하는 일이 생길 때 느끼는 거라 가능하면 그런 일을 미연에 방지하려고 노력한다.
144,181,4,1,40,INFJ,1,<아니다> 저는 새로운 친구보다 오랜 친구를 선호합니다. 나의 가장 친한 친구는 5살 때 유치원에서 만난 친구를 아직도 만납니다.
145,182,4,1,40,INFJ,2,"<그렇다> 정치, TV 콘텐츠. 연애 프로그램 등에 관심이 있습니다. 그 외에는 우리 아이들에 관심이 많습니다."
146,183,4,1,40,INFJ,3,<그렇다> 남이 우는 모습을 보면 이유도 모르지만 그냥 눈물이 따라 나와서 거의 같이 웁니다.
147,184,4,1,40,INFJ,4,<그렇다> 저는 길을 찾아갈 때도 휴대폰 내비게이션이 작동 안 될 때를 대비해 미리 스크린숏을 해놓습니다.
148,185,4,1,40,INFJ,5,<그렇다> 제가 하는 일이 굉장히 노동 강도가 세서 사람들이 일을 하다가 자기도 모르게 욕을 하곤 하는데 저는 음악 감상을 하며 즐거운 상상을 하면서 평정심을 잘 유지하는 편입니다.
149,186,4,1,40,INFJ,6,"<그렇다> 새로운 사람과도 거리낌 없이 먼저 말을 건넬 수 있는데, 그 사람과 친하고자 하지는 않습니다."
150,187,4,1,40,INFJ,7,<그렇다> 저는 여러 일을 동시에 하기보다는 하나를 깔끔하게 끝내고 새로운 일을 시작하는 것을 선호합니다.
151,188,4,1,40,INFJ,8,"<그렇다> 저는 눈물도 많고 책 읽기나 음악 감상, 영화 보기 등 감상적인 상상하는 것을 매우 즐깁니다."
152,189,4,1,40,INFJ,9,<그렇다> 저는 냉장고에 뭐가 들었는지도 일일이 기록하고 식단을 짜는 것도 휴대폰 메모 앱을 이용하여 기록합니다. 모든 일정도 전자 도구에 메모합니다.
153,190,4,1,40,INFJ,10,<그렇다> 저는 작은 말실수 하나에도 잠 못 이루는 날이 많습니다. 남의 실수도 저의 실수만큼이나 두고두고 곱씹습니다.
154,191,4,1,40,INFJ,11,<중립> 저는 관심이 가는 사람에게는 무관심한 척하는 것 같습니다. 다만 관심이 없는 사람에게는 쉽게 말 걸 수 있습니다.
155,192,4,1,40,INFJ,12,<그렇다> 예술 작품에 대한 토론을 즐기는 편입니다. 저는 영화를 보면 남이 어떻게 봤는지도 챙겨보고 저 역시 감상평을 남기는 편입니다.
156,193,4,1,40,INFJ,13,<그렇다> 이성을 따르는 편입니다. 저는 논리적인 것을 좋아하고 논리적으로 설명이 되지 않는 것은 쉽게 행동에 옮기고 싶지 않은 편입니다.
157,194,4,1,40,INFJ,14,"<아니다> 저는 즉흥적인 여행을 가면 꼭 후회를 하고, 즉흥적인 만남도 별로 즐기지 않는 편입니다. "
158,195,4,1,40,INFJ,15,"<중립> 저는 남이 보는 저의 모습에 대해 신경을 씁니다. 다만, 보이는 외적인 것보다는 내적인 것들에 대한 걱정을 많이 하는 편입니다."
159,196,4,1,40,INFJ,16,"<중립> 즐기지만 걱정은 합니다. 예를 들어, 단체 관광은 좋아합니다. 저는 준법성과 남에 대한 예의를 중요시하기 때문에 단체에서 정한 규율과 약속은 철저히 지킵니다. 다만 그것을 지키지 않는 것에 대해 굉장한 두려움이 있기도 합니다."
160,197,4,1,40,INFJ,17,"<그렇다> 저만의 결말 해석을 즐기는 편입니다. 저는 장르만 로맨스라는 영화를 재밌게 봤는데, 저는 이 영화가 성소수자의 연애라고 단정 짓지 않고 많은 다양한 연애 방식으로 폭을 넓혀 해석합니다."
