,User_ID,Gender,Age,MBTI,Q_number,Answer
9096,190,1,40,ESTP,25,아니다. 저는 논쟁을 바라보는 게 싫어요. 이유는 논쟁에서 벌어지는 모습들이 보기 싫고 평화로운 게 좋아요. 그냥 서로 인정하고 의견이 같은 걸 공유하는 게 더 좋아요.
13907,386,1,30,ISTP,48,그렇다. 저는 그 사람의 잘못이 드러났을 때 얼마나 창피하고 무안할까 하는 생각을 합니다. 그렇다고 그 잘못을 살짝 넘기고 싶진 않으며 그에 합당한 벌을 받아야 한다고 생각합니다.
14575,404,0,20,ENTP,56,"그렇다. 일을 절차대로 완수하는 편입니다. 잡지책을 볼 때도 훌렁훌렁 보지 않고 한 장 한 장 정독하고, 드라마나 영화를 볼 때도 놓친 장면은 다시 돌려서 보고 넘어가야 하는 성격입니다. 일을 할 때도 능숙한 일이라 중간을 건너띄고 결과물을 만들어낼 수 있는 경우라도 일부러 차곡차곡 과정 파일을 남겨서 다른 사람이 보더라도 해당 작업에 대해 바로 이해할 수 있게 처리합니다."
14946,413,0,30,ENFP,7,아니다. 한 번에 여러 가지 일을 벌여 놓은 다음 하나하나 해결해 나간다.
2714,57,1,40,ISFP,27,그렇다. 저는 감정이 매우 빠르게 변하곤 합니다. 예를 들어 남자친구와 싸우면 다신 안 볼 거 같은 생각이 들다가도 사과하면 금방 풀어져 좋은 상태로 돌아갑니다.
16244,438,1,20,ENTJ,45,아니다. 저는 실수를 후회하지 않습니다. 이유는 후회해서 자신한테 좋을 것이 없기 때문입니다.
6868,144,1,40,ISTJ,5,"아니다. 저는 압박감이 심하면 긴장을 많이 하는 편입니다. 평소보다 아침 일찍 집을 나서야 하는 경우가 있었는데 그 전날 밤늦도록 잠을 이루지 못하고, 알람 시간보다 먼저 눈을 떴습니다."
8321,174,1,30,ENFJ,18,그렇다. 저는 남이 잘 돼야 저도 잘된다고 생각합니다. 이유는 그 사람이 저를 보고 배우면 다른 사람도 그 사람을 보고 배우게 된다고 생각하기 때문입니다.
1297,28,1,40,INTJ,2,"중립. 저는 시간을 내기보다는 평상시 자연스럽게 관심을 가지게 되는데, 이유는 그에 따른 탐색을 하는 편으로 최근에는 건강관리에 관심이 많이 갑니다."
10102,211,0,40,INFJ,23,"중립. 이성만을 중요시했다면 어린이, 여자, 노인과 장애인을 보호하지 않았을 테고 종족 자체가 지금처럼 번성하지 못했을 거라고 생각한다. 관련 다큐를 본 적이 있고 그것을 통해 이런 생각이 굳혀졌다. 이성을 도외시해 미신과 폭력에 많은 인류가 피해를 입은 면도 있기에 양측의 균형이 중요하다고 본다. 어느 한편을 들기는 어렵다고 생각한다."
16601,444,1,20,ENTJ,42,그렇다. 저는 제 의견과 다른 의견이 있을 때 이해하기 위해서 검색을 하며 시간을 쓰는 편입니다. 이유는 다른 사람의 의견을 존중하기 위해서는 저도 그만한 배경지식과 경험이 있어야 하기 때문입니다.
11273,235,0,30,INTP,42,그렇다. 다른 의견은 흥미롭다. 하지만 틀린 의견은 흥미롭지 않다. 내가 틀린 부분은 인정하겠지만 모르는 부분을 당당하게 말하는 걸 정정해 주고 싶다. 그로 인해 내가 알아가는 부분도 있어 좋아한다.
14778,410,1,40,ESTP,19,아니다. 저는 그렇지 않습니다. 이유는 관심사가 많지도 않고 어떤 일이든 내가 하고 싶은 일을 먼저 하는 편이기 때문입니다.
3474,73,1,20,ESFP,19,아니다. 관심사가 여러 개가 아니고 하나에만 파고드는 스타일이라서 이런 상황이 발생하지 않는다.
5082,106,1,30,ENTJ,43,그렇다. 저는 친구에게 먼저 만나자고 연락을 하는 편입니다. 그 이유는 먼저 다가가는 게 어려운 사람은 아닙니다. 사람들 만나는 것도 좋아해서 먼저 연락하는 편입니다.
6346,133,1,30,INTP,11,"아니다. 기본적으로 모르는 사람에게 무슨 말을 먼저 시작해야 하는지 잘 모르기도 하고, 나중에 서로 공통 관심사가 있다는 게 확실할 때아니면 애초에 먼저 말을 시작하지 않습니다."
7806,163,0,20,ISFP,31,아니다. 요즘에도 마찬가지로 혼자 있는 시간을 즐기는 편입니다. 어릴 때부터 혼자서 노는 시간이 많아서 혼자 있는 것이 익숙합니다. 오프라인보다는 온라인 만남을 선호합니다.
3595,75,1,40,ENTJ,44,아니다. 저는 상황에 맞게 대처합니다. 이유는 계획에 차질이 생긴다고 하는 건 돌발적인 상황이 항상 발생할 수 있다는 의미이기도 하기 때문에 유동적으로 계획을 수정할 수도 있으니까요.
4915,103,1,30,ISTP,20,아니다. 이유는 잘못될지 안될지 모르는 일에 대해 미리 걱정하며 스트레스 받고 싶지 않은 것입니다.
8673,181,1,40,INFJ,34,중립. 정말 신중하게 결정해야 하는 일을 빼고는 적당한 시기에 결정하는 편입니다.
6307,132,1,40,ESTJ,20,아니다. 저는 일이 잘못된다 하더라도 다시 하거나 다른 길을 찾음 되니 크게 걱정하진 않습니다.
2308,49,0,40,INFJ,5,중립. 내 성향은 부담감을 즐기지 못한다. 그 이유로 압박감이 심할 경우 대개 스트레스를 동반하고 위축되곤 한다. 하지만 오히려 압박감이 기준을 넘어설 경우 그 압박감을 무시해버리는 특성도 갖고 있다. 그래서 도리어 실전에 강한 부분도 나타난다.
2425,51,0,40,ISTP,26,그렇다. 저는 다른 사람으로부터 주목을 받는 것이 굉장히 부담스러워합니다. 이유는 주목을 받으면 당황스러워합니다.
14037,388,1,40,ISTJ,58,"아니다. 나 자신에게는 불필요한 기회인 것이 아닌 이상 나에게도 필요하지만 상대에게는 더 필요한 정도의 일이라면, 나 자신에게도 필요한 일이니 포기하지 않습니다. 어쨌든 상대보다는 내가 더 중요하니까요."
4847,101,1,30,ISFP,48,그렇다. 저는 사람들의 눈치를 많이 보고 나 때문에 분위기를 망치는 것을 싫어합니다.
8801,184,0,30,ENFJ,18,아니다. 다른 사람의 성공보다는 자신의 성공에 압도적인 만족감을 느끼는 편입니다. 자신의 성공보다 남의 성공을 더 기뻐할 사람이 있을까요?
18300,474,1,30,ENTP,1,"그렇다. 저는 새로운 경험을 위해서 만듭니다. 이유는 이미 주변에 있는 친구들은 안 맞을 수도 있고, 또 제가 새로운 경험을 하기 위해 정보도 얻을 수 있고 취미 공유를 할 수 있기 때문입니다."
16254,438,1,20,ENTJ,55,아니다. 저는 그런 기분을 느낀 적이 없습니다. 이유는 부담감을 느껴 본 적이 없기 때문입니다.
15659,427,1,30,ESFJ,60,그렇다. 큰일을 진행할 때에도 잘 나누어 계획대로 진행하다 보면 그 노력들이 모여 결국 달성할 수 있다고 생각합니다.
10899,228,0,30,ISTJ,4,"그렇다. 세상에 예기치 못한 경우가 많고 예상대로 일이 진척되지 않을 경우 매우 스트레스를 받기 때문에, 저는 가급적이면 여러 가지 경우의 수를 가정해 대비하려 합니다."
15759,429,1,30,ENFJ,40,"그렇다. 저는 타고난 성향인 것 같습니다. 이유는 불안함을 느끼는 것은 자기 자신을 믿지 못한다고 생각하기 때문이고, 저는 저를 믿기 때문에 불안함을 잘 안 느낍니다."
9800,205,1,40,ISTP,9,아니다. 계획을 세우는 걸 좋아하지 않습니다. 특히 많은 사람들이 버킷리스트를 세우는 것도 이해가 되지 않습니다. 왜냐하면 그런 계획들이 마치 숙제처럼 느껴지기 때문입니다.
11660,288,0,30,ESFJ,21,"중립/모르겠다. 저는 모르겠습니다. 제가 잘하는 분야에서는 지도자를 하고 싶을 때가 있지만, 그렇지 않은 날도 있습니다."
14936,412,0,30,ISTJ,57,아니다. 저는 논란이 되거나 논쟁을 불러일으킬 수 있는 주제에 관심이 없습니다. 이성적으로 빠른 판단으로 정리하는 것을 선호합니다.
18195,472,0,30,ESTP,16,"그렇다. 저는 단체 활동에 참여하는 것을 좋아합니다. 관심 있는 분야는 동호회 활동을 꼭 하며 여러 사람들과 어울리는 것을 좋아합니다. 요즘에는 아이들과 함께라서 그런 활동을 하지 못하지만, 아이 친구 부모님과 함께 하기 위한 계획을 합니다."
14188,394,1,20,ISTP,29,중립/모르겠다. 웬만하면 미루지 않으려고 노력하지만 사실상 마지막까지 미뤄뒀다가 빠르게 해결하는 일이 더 많은 것 같다.
11746,294,0,40,ENFJ,47,"아니다. 타인의 감정을 잘 느끼는 편이어서 감정에 흔들릴 때가 있지만, 요즘에는 내 감정을 잘 조절해서 타인에게 피해가 가지 않도록 노력하고 있습니다. 주변에 가족들과 친구들도 저의 감정 변화를 잘 못 느끼는 편입니다."
4028,84,1,40,ENFP,45,중립. 다른 실수를 후회하는 편은 아니지만 지금 생각하면 별거 아닌 일로 혹은 약간의 불편함으로 멀어진 사람들에 대한 생각을 가끔 합니다. 하지만 금세 그럴 인연이었겠지라고 생각을 정리하고 마는 것 같습니다.
17880,467,1,30,ENTP,1,중립/모르겠다. 저는 주변 환경이 변화하면서 새로운 사람들과 만나면 새로운 친구를 만들지만 그렇지 않은 경우에는 주기적으로 새로운 친구를 만들지는 않습니다. 이유는 새로운 사람들을 만나는 것 자체가 본인에게는 많은 에너지가 소요되기 때문입니다.
4580,96,0,30,ESFJ,21,아니다. 예전부터 단체에서 지도자 역할을 자주 맡아 굳이 나서서 하지 않지만 그렇다고 피하지도 않습니다.
10554,220,1,30,ENFJ,43,그렇다. 저는 제가 먼저 다가가는 편입니다. 상대가 저를 먼저 찾는 경우가 너무 없어지면 그때는 제가 멀리하기도 합니다.
11961,318,0,30,INFJ,22,아니다. 저는 예술적 성향이 많다고 생각합니다. 실제로 디자인을 전공하기도 했고 아름다운 것을 사랑하며 기존의 틀을 벗어나 새로운 것을 창조하는 것을 좋아하기 때문입니다.
8981,188,0,30,INTJ,6,그렇다. 저는 대부분의 경우 이미 알고 지내는 사람과 대화합니다. 이유는 상대방이 어떤 사람인지 알기 전까지는 먼저 다가가기에 부담을 느끼기 때문입니다.
8767,183,1,30,ISFJ,32,그렇다. 저는 토론 자체에 관심이 별로 없어서 TV에 나오는 토론도 잘 보지 않습니다. 집중하기도 어려울뿐더러 지루한 편이라 생각합니다.
2602,55,0,40,ISFJ,11,아니다. 어렸을 적엔 직접 먼저 말도 걸고 했었는데 사춘기가 지나면서 먼저 누군가에게 다가가서 대화를 시작하기는 어려운 부분이다. 먼저 다가와 주는 것을 기대하는 편이다. 고등학교 때도 남고였는데도 친구들 사귀는데 한 달 이상 걸렸던 것 같다.
8871,185,1,20,ESTP,40,"그렇다. 저는 불안함을 느낄 때가 거의 없습니다. 이유는 10대에는 사소한 모든 것에 불안함을 가졌는데, 20대가 되면서 제가 하는 모든 선택에 신뢰를 갖게 되었기 때문입니다."
12919,355,1,40,ISTP,20,아니다. 걱정하지 않습니다. 잘못되면 잘못되는 대로 다시 고치는 일도 경험이라 생각합니다.
2516,53,0,30,ISTJ,21,그렇다. 단체에서 지도자는 단체원의 역할을 정해야 하고 그 단체원들 각각 신경 써줘야 하기에 지도자보다는 맡은 바의 역할만 하는 단체원이 제 타입에 맞기에 지도자 역할은 피하고 싶습니다.
14509,402,1,40,ISFJ,50,아니다. 남들이 자신을 어떻게 평가하는지 신경을 쓰지 않고 있기에 크게 생각하고 있지 않습니다.
17042,452,0,30,ESTJ,3,그렇다. 저는 감수성이 뛰어난 사람이라고 생각합니다. 그래서 누가 울거나 하면 같이 슬퍼지기도 하고 꾹 참아볼 때도 있긴 하지만 결국은 눈물이 납니다. 딱 어떠한 느낌을 받는다기보단 그 상황이 그냥 슬펐습니다.
5816,122,1,40,ISFP,9,아니다. 일단 손으로 뭐 적는 걸 별로 안 좋아하고 복잡한 걸 좀 꺼리는 편이에요.
7015,147,1,40,INTJ,8,아니다. 개인적으로 이성적인 편이라고 생각한다. 주변 환경이나 예술품 및 공연에 감동받지 않는다.
10940,228,0,30,ISTJ,45,"아니다. 오래전의 실수는 거의 기억나지 않습니다. 생각하려 하지 않는 것이 아니고, 시간이 지나면 기억나지 않는 것이 대부분입니다."
11028,230,1,40,ESFJ,37,그렇다. 저는 미술관 가는 걸 좋아합니다. 이유는 어릴 적에 풍경화를 배우면서 미술작품을 좋아해서 미술작품 책 보는 것도 좋아하고 미술관 가서 조용한 곳에서 미술작품을 보는 걸 좋아합니다.
12214,332,0,30,ESFJ,35,그렇다. 저는 다시 생각하지 않습니다. 그 이유는 다시 되돌릴 수 없기 때문입니다.
11876,305,0,40,ENTJ,57,아니다. 저는 논란이 되거나 논쟁이 될 만한 일은 그냥 일단 지켜보는 편입니다. 이유는 그동안 경험으로 비추어 보았을 때 항상 이런 안건은 안건을 제시한 사람이 결국 마지막에 모르는척하는 것을 많이 봐 왔기 때문에 확실하지 않은 것은 일단 지켜보는 편입니다.
9155,191,1,20,ENTJ,36,"그렇다. 혼자 있으면 의욕도 나지 않고 우울해지기 쉬워서, 시간이 되면 오프라인 행사에 친구들과 함께 참석하려 하고, 어렵다면 온라인에서 사람들과 참여하는 모임에 참여하는 편입니다."
7884,165,1,40,ESFP,13,그렇다. 해야 하는 것을 할 때 하고 싶은 것 위주로 하는 편이라 감정적으로 하는 편입니다. 남들도 감정적으로 평가합니다.
15242,421,0,30,ESFP,3,그렇다. 저는 다른 사람이 우는 모습을 보면 같이 눈물이 나는 편입니다. 이유는 다른 사람이 울 때 마치 그 사람의 상황이 나의 상황과 투영되여 오기 때문입니다.
1397,30,1,30,ENFP,6,중립. 파티나 행사에서 새로운 사람에게 먼저 자신을 소개하기보다는 주로 이미 알고 있는 사람과 대화하는 편입니다. 하지만 친해지고 싶은 사람이 있다면 먼저 다가가서 저를 소개하기도 합니다. 왜냐면 행사나 파티는 저를 알리거나 도움이 되는 사람들을 많이 만날 수 있는 기회이기 때문입니다.
12324,334,1,30,ENFP,25,"그렇다. 사람들의 사고방식, 생각을 읽을 수 있는 좋은 방법이 논쟁이라고 생각합니다. 그래서 논쟁을 좋아합니다."
16895,449,0,40,ISFJ,36,아니다. 일주일의 피로는 휴식으로 푸는 편입니다. 남들과의 파티에서 즐기기 위해서는 체력이 필요한데 휴식 없이는 체력이 돌아오지 않는다고 생각합니다.
17571,461,0,40,INFP,52,아니다. 저는 아니라고 생각합니다. 무언가를 깊게 생각하는 것에 시간 낭비라고는 생각하지 않습니다. 거기서 무언가 깨달을 수도 있기 때문입니다.
2232,47,1,20,INTJ,25,그렇다. 서로 다른 사람들의 이야기와 근거를 통해 새로운 사실과 합리적인 방안을 얻을 수 있다고 생각하기 때문입니다.
290,7,1,30,ISFP,3,아니다. 다른 사람들이 울고 있는 모습을 보면 그다지 아무 감정이 없어요. 그냥 저 사람은 왜 저러고 있나라는 생각만 들어요.
5894,123,0,20,INTJ,39,중립. 저는 매일 할 일을 계획하는 일을 좋아하지만 즉흥적인 날도 좋아합니다. 이유는 정해진 업무만 하다 갑작스러운 일을 하면 또 다른 재미가 있기 때문입니다.
11404,238,0,20,ISTJ,29,"아니다. 저는 해야 할 일을 마지막까지 미룰 때가 많지 않습니다. 이유는 제시간 안에 일 처리를 못하면 자존감도 떨어지고, 거기에 대한 불안감이 많아서 할 일이 생기면 제때 하는 편입니다."
6413,134,1,20,ENTJ,30,"그렇다. 저는 사후 세계에 대한 질문이 흥미롭다고 생각합니다. 살아서 대화를 할 수 있는 그 누구도 경험해 보지 못한 세계이기 때문에 죽음 뒤에 무엇이 있긴 한 건지, 있다면 무엇이 있는지 평소에 궁금해하고 있습니다."
9353,195,1,20,ENFJ,42,"그렇다. 다양한 의견을 듣는 것을 좋아하는데, 전혀 다른 의견이 있을 경우, 대체 저 생각은 어떻게 나온 걸까?라고 궁금해져서 여러 방면으로 생각하고 알아보는 것 같아요."
16173,437,1,20,ESFP,34,"그렇다. 저는 결정을 내리는 일을 마지막까지 미루는 편입니다. 왜냐하면 저는 주로 결정을 내릴 때, 이것저것 생각하며 아주 신중하게 결정을 내리는 편입니다. 그래서 결정을 내리는 일을 마지막까지 미룹니다."
3263,68,1,40,ISTP,48,그렇다. 저는 상대방의 잘못이 명백할 때도 상대방의 체면을 살려주기 위해 노력해요. 이유는 상대방에게 두 번의 상처를 주고 싶지 않기 때문이에요.
8756,183,1,30,ISFJ,21,그렇다. 저는 단체생활을 기피하는 성격이기 때문에 단체생활의 지도자의 역할을 맡는 일은 저에게는 쥐약이라고 생각합니다. 가능한 이 아니라 절대 피하고 싶다는 의견입니다.
15261,421,0,30,ESFP,22,"아니다. 저는 예술적 성향을 가지고 있습니다. 이유는 책, 영화, 미술 등에 관심이 있고 즐깁니다. 시를 써 보기도 하고 소설을 써보기도 합니다."
17716,464,1,30,ISFJ,17,"아니다. 저는 열린 결말의 책과 영화를 좋아하지 않습니다. 결론이 어떻게 될지 궁금해서 끝까지 보는 편인데 모호하게 끝나버리면 매우 허무함을 느낍니다. 내가 바라던 결말이 아니었을 경우, 작가와 나의 결말을 비교해 보며 주변 사람과 토론하는 것도 좋아합니다. 얼마 전 넷플릭스의 카지노 시즌 2 결말을 본 후 친구와 열띤 토론을 하기도 했습니다. 제가 바라던 결말은 아니었지만 그런 것 또한 작가의 의도와 제 생각을 비교해 가며 토론할 수 있어 좋다고 할 수 있습니다."
3971,83,1,40,INTJ,36,아니요. 저는 파티보다는 혼자서 쉬는 시간을 선택합니다. 이유는 파티를 하고 나면 몸이 피곤해서 혼자 조용하게 쉬는 쪽을 선택합니다.
17578,461,0,40,INFP,59,아니다. 저는 아니라고 생각합니다. 회사 일 특성상 마감은 무조건 지켜야 합니다. 저는 이제까지 마감을 못 지킨 적이 없습니다.
12798,348,0,40,ISTP,19,"그렇다. 최근에 운동도, 공부도, 여행도 (회사 다니면서) 하고 싶었던 적이 있는데, 너무 많아 시간이 부족하다. 어떡하지 하고 실제로 자격증 시험과 여행 일정이 겹쳐서 곤란했던 적이 있었어요."
18592,478,0,30,ESTJ,53,아니다. 조용한 공간이 좋다. 특히나 은은한 음악이 흘러나오는 카페나 한적한 카페가 좋다.
